name,year,set,cardNo,team,c,pu,so,gb,fb,bb,si,sip,du,tr,hr,points,ip,hand,icon,pos
Andy Pettitte,'01,,302,Yankees,2,1-3,4-6,7-14,15-17,18-,19-20,-,-,-,-,400,6,L,,Starter
Jamie Moyer,'04,,302,Mariners,4,1-3,4-6,7-12,13-16,17-,18-19,-,20-24,-,25+,410,7,L,20,Starter
Roy Halladay,'03,,302,Blue Jays,4,1-2,3-6,7-15,16-,17-,18-21,-,22-25,-,26+,460,07,R,,Starter
Arthur Rhodes,'02,,303,Mariners,4,1-2,3-11,12-16,17-19,-,20-26,-,-,-,27+,280,1,L,,Reliever
Mariano Rivera,'01,,304,Yankees,6,1-3,4-7,8-13,14-16,17-,18-19,-,20-,-,-,300,1,R,,Closer
Mariano Rivera,'01,,304,Yankees,6,1-3,4-7,8-13,14-16,17-,18-19,-,20-,-,-,300,1,R,,Closer
Kazuhiro Sasaki,'02,,304,Mariners,5,1-3,4-9,10-13,14-18,-,19-,-,20-24,-,25+,250,1,R,,Closer
Ramiro Mendoza,'00,,305,Yankees,4,5-7,1-4,8-13,14-16,-,17-19,-,20-,-,-,270,2,R,,Reliever
Chris Carpenter,'05,,305,Cardinals,5,1-3,4-7,8-14,15-,16-,17-20,-,21-23,-,24+,450,7,R,,Starter
Aaron Sele,'02,,305,Mariners,2,1-4,5-7,8-13,14-18,-,19-22,-,-,-,23+,370,6,R,,Starter
Jason Isringhausen,'05,,307,Cardinals,5,1-3,4-8,9-15,16-17,18-,19-,-,20-25,-,26+,230,1,R,RP,Closer
Andy Pettitte,'00,,307,Yankees,4,4-5,1-3,6-12,13-15,16-,17-19,-,20-,-,-,350,6,L,,Starter
Kevin Appier,'01,,307,Athletics,2,1-4,5-8,9-13,14-17,18-,19-,-,20-,-,-,310,6,R,,Starter
Ray King,'05,,308,Cardinals,5,1-2,3-6,7-14,15-17,18-,19-,-,20-27,-,28+,250,1,L,,Reliever
Jeff Fassero,'04,,308,Cardinals,2,1-,2-5,6-11,12-14,15-,16-18,-,19-22,-,23+,50,2,L,,Reliever
Mariano Rivera,'00,,309,Yankees,4,5-7,1-4,8-14,15-18,19-,20-,-,-,-,-,210,1,R,,Closer
Jason Isringhausen,'04,,310,Cardinals,5,1-,2-7,8-14,15-17,18-,19-23,-,24-26,-,27+,230,1,R,,Closer
Mike Stanton,'00,,310,Yankees,5,6-8,1-5,9-11,12-15,-,16-19,-,20-,-,-,120,1,L,,Reliever
Matt Morris,'05,,310,Cardinals,3,1-2,3-5,6-13,14-16,17-,18-,-,19-22,-,23+,170,6,R,,Starter
Dustin Hermanson,'02,,310,Cardinals,2,1-4,5-7,8-13,14-17,18-,-,-,19-,-,20+,30,6,R,,Starter
Darryl Kile,'02,,311,Cardinals,1,1-4,5-9,10-15,16-19,-,20-24,-,-,-,25+,320,07,R,,Starter
Kevin Appier,'00,,312,Athletics,3,4-6,1-3,7-12,13-16,17-,18-19,-,20-,-,-,340,6,R,,Starter
Steve Kline,'02,,312,Cardinals,4,1-4,5-8,9-15,16-18,19-,20-26,-,-,-,27+,230,1,L,,Reliever
Gil Heredia,'01,,313,Athletics,2,1-2,3-5,6-13,14-17,-,18-19,-,20-,-,-,340,6,R,,Starter
Matt Morris,'02,,314,Cardinals,2,1-3,4-8,9-15,16-18,-,19-26,-,-,-,27+,390,6,R,,Starter
Tim Hudson,'01,,315,Athletics,3,1-2,3-7,8-15,16-17,18-,19-,-,20-,-,-,440,6,R,,Starter
Tim Hudson,'01,,315,Athletics,3,1-2,3-7,8-15,16-17,18-,19-,-,20-,-,-,440,6,R,,Starter
Julian Tavarez,'05,,315,Cardinals,4,1-2,3-5,6-13,14-16,17-,18-19,-,20-27,-,28+,180,1,R,,Reliever
Tim Hudson,'01,,315,Athletics,3,1-2,3-7,8-15,16-17,18-,19-,-,20-,-,-,440,6,R,,Starter
Jason Isringhausen,'01,,316,Athletics,6,1-3,4-7,8-12,13-14,15-16,17-20,-,-,-,-,230,1,R,,Closer
Garrett Stephenson,'04,,316,Cardinals,3,1-2,3-5,6-10,11-15,16-,17-18,-,19-22,-,23+,30,5,R,,Starter
Woody Williams,'05,,317,Cardinals,3,1-4,5-8,9-14,15-16,17-,18-19,-,20-24,-,25+,250,6,R,,Starter
Woody Williams,'04,,317,Cardinals,4,1-4,5-8,9-14,15-17,-,18-19,-,20-24,-,25+,350,6,R,,Starter
Buddy Groom,'00,,317,Athletics,3,5-6,1-4,7-13,14-16,17-,18-20,-,-,-,-,120,1,L,,Reliever
Gil Heredia,'00,,318,Athletics,4,4-6,1-3,7-12,13-16,-,17-19,-,20-,-,-,440,6,R,,Starter
Jim Mecir,'01,,318,Athletics,4,1-2,3-7,8-13,14-16,17-18,19-20,-,-,-,-,210,1,R,,Reliever
Mark Mulder,'01,,319,Athletics,3,1-2,3-5,6-12,13-15,16-,17-19,-,20-,-,-,240,6,L,,Starter
Danys Baez,'05,,319,Devil Rays,3,1-,2-5,6-11,12-16,17-,18-19,-,20-25,-,26+,140,1,R,,Closer
Lance Carter,'04,,319,Devil Rays,2,1-,2-4,5-9,10-18,19-,20-,-,21-23,-,24+,140,1,R,,Closer
Bud Smith,'02,,319,Cardinals,3,1-4,5-8,9-14,15-18,-,19-,-,20-,-,21+,400,6,L,,Starter
Dave Veres,'02,,320,Cardinals,3,1-3,4-9,10-15,16-17,18-19,-,-,-,-,20+,10,1,R,,Reliever
Doug Jones,'00,,321,Athletics,3,5-6,1-4,7-12,13-17,-,18-19,-,20-,-,-,120,1,R,,Reliever
Dewon Brazelton,'05,,321,Devil Rays,2,1-2,3-5,6-11,12-16,17-,18-19,-,20-24,-,25+,160,5,R,R,Starter
Omar Olivares,'00,,322,Athletics,3,3-4,1-2,5-11,12-16,17-,18-19,-,20-,-,-,340,6,R,,Starter
Travis Harper,'04,,322,Devil Rays,3,1-,2-5,6-13,14-16,17-18,19-22,-,23-24,-,25+,160,2,R,,Reliever
Jeff Brantley,'01,,324,Phillies,5,1-3,4-8,9-11,12-14,15-16,17-19,-,-,-,20+,10,1,R,,Closer
Travis Harper,'05,,325,Devil Rays,4,1-,2-5,6-11,12-16,17-,18-19,-,20-24,-,25+,190,2,R,,Reliever
Omar Daal,'01,,326,Phillies,1,1-3,4-6,7-13,14-17,-,18-19,-,20-,-,-,200,6,L,,Starter
Joe Kennedy,'02,,326,Devil Rays,1,1-4,5-8,9-13,14-19,-,-,-,20-,-,21+,220,6,R,,Starter
Tanyon Sturtze,'02,,327,Devil Rays,1,1-4,5-7,8-13,14-18,19-,20-22,-,-,-,23+,190,07,R,,Starter
Jorge Sosa,'04,,327,Devil Rays,1,1-3,4-6,7-12,13-16,17-,18-19,-,20-24,-,25+,10,5,R,,Starter
Wayne Gomes,'01,,329,Phillies,4,1-3,4-6,7-13,14-15,16-17,18-19,-,20-,-,-,120,1,R,,Reliever
Francisco Cordero,'04,,329,Rangers,3,1-2,3-8,9-15,16-17,18-,19-23,-,24-26,-,27+,140,1,R,,Closer
Aaron Fultz,'04,,330,Rangers,1,1-4,5-11,12-15,16-17,18-19,-,20-23,-,24+,,10,1,L,,Reliever
Paul Wilson,'02,,330,Devil Rays,1,1-4,5-9,10-14,15-18,19-,20-,-,-,-,21+,180,6,R,,Starter
Esteban Yan,'02,,331,Devil Rays,5,1-2,3-8,9-13,14-16,-,17-19,-,20-22,-,23+,100,1,R,,Closer
Paul Byrd,'00,,331,Phillies,3,4-6,1-3,7-11,12-16,17-,18-19,-,20-,-,-,330,6,R,,Starter
Francisco Cordero,'05,,331,Rangers,4,1-2,3-8,9-13,14-16,17-,18-20,-,21-27,-,28+,230,1,R,RP,Closer
Chan HoPark,'05,,332,Rangers,1,1-2,3-6,7-13,14-16,-,17-18,-,19-21,-,22+,10,6,R,,Starter
Vicente Padilla,'01,,333,Phillies,5,1-2,3-6,7-13,14-15,16-,17-19,-,20-,-,-,190,1,R,,Reliever
Robert Person,'01,,334,Phillies,4,1-3,4-8,9-11,12-15,16-18,19-,-,20-,-,-,290,6,R,,Starter
Wayne Gomes,'00,,334,Phillies,4,5-6,1-4,7-12,13-14,15-18,19-20,-,-,-,-,130,1,R,,Closer
Doug Davis,'02,,334,Rangers,1,1-5,6-9,10-15,16-18,-,19-26,-,-,-,27+,220,6,L,,Starter
Kenny Rogers,'05,,335,Rangers,2,1-2,3-5,6-12,13-16,17-,18-19,-,20-24,-,25+,90,6,L,,Starter
John Thomson,'04,,335,Rangers,3,1-,2-4,5-11,12-16,17-,18-19,-,20-23,-,24+,180,6,R,,Starter
Ismael Valdes,'04,,336,Rangers,1,1-2,3-4,5-11,12-15,16-,17-18,-,19-22,-,23+,10,5,R,,Starter
Brian Shouse,'05,,336,Rangers,4,1-,2-5,6-14,15-16,17-,18-19,-,20-25,-,26+,170,1,L,,Reliever
Steve Montgomery,'00,,337,Phillies,5,6-,1-5,7-10,11-15,16-17,18-19,-,20-,-,-,130,1,R,,Reliever
Randy Wolf,'01,,337,Phillies,1,1-4,5-8,9-13,14-17,18-,19-,-,20-,-,-,160,6,L,,Starter
Darren Oliver,'02,,337,Rangers,2,1-3,4-6,7-12,13-16,17-,18-19,-,20-,-,21+,20,6,L,,Starter
Jimmy Anderson,'01,,338,Pirates,1,1-2,3-4,5-14,15-17,18-,19-20,-,-,-,-,230,5,L,,Starter
Chad Ogea,'00,,338,Phillies,0,4-6,1-3,7-11,12-18,-,-,-,19-,-,20+,10,6,R,,Starter
Curt Schilling,'00,,340,Phillies,6,6-7,1-5,8-11,12-15,16-,17-19,-,20-,-,-,600,08,R,,Starter
Kris Benson,'01,,340,Pirates,2,1-2,3-7,8-14,15-17,18-,19-20,-,-,-,-,420,07,R,,Starter
Miguel Batista,'05,,340,Blue Jays,1,1-2,3-5,6-13,14-16,17-,18-19,-,20-24,-,25+,40,5,R,,Starter
Kelvim Escobar,'04,,340,Blue Jays,2,1-3,4-8,9-15,16-,17-,18-19,-,20-21,-,22+,80,5,R,,Starter
Kris Benson,'01,,340,Pirates,2,1-2,3-7,8-14,15-17,18-,19-20,-,-,-,-,420,07,R,,Starter
Roy Halladay,'04,,341,Blue Jays,5,1-2,3-8,9-15,16-17,-,18-20,-,21-23,-,24+,500,8,R,20 CY,Starter
Mike Venafro,'02,,341,Rangers,1,1-3,4-6,7-16,17-19,20-26,-,-,-,-,27+,80,1,L,,Reliever
Jeff Zimmerman,'02,,343,Rangers,4,1-5,6-11,12-14,15-18,19-,20-,-,-,-,21+,210,1,R,,Closer
Kris Benson,'00,,343,Pirates,3,6-7,1-5,8-13,14-16,17-,18-19,-,20-,-,-,340,6,R,,Starter
Roy Halladay,'05,,343,Blue Jays,3,1-,2-5,6-13,14-16,17-,18-22,-,23-24,-,25+,320,6,R,,Starter
Chris Carpenter,'02,,344,Blue Jays,2,1-3,4-7,8-14,15-17,18-,19-,-,20-,-,21+,180,6,R,,Starter
Brad Clontz,'00,,346,Pirates,3,6-7,1-5,8-11,12-16,17-18,19-20,-,-,-,-,120,1,R,,Reliever
Cliff Politte,'04,,346,Blue Jays,3,1-2,3-6,7-11,12-15,16-,17-18,-,19-24,-,25+,100,1,R,,Closer
Justin Speier,'05,,347,Blue Jays,3,1-3,4-8,9-13,14-17,18-,19-22,-,23-24,-,25+,160,1,R,,Reliever
Kelvim Escobar,'02,,347,Blue Jays,5,1-3,4-9,10-14,15-17,18-,19-,-,20-26,-,27+,180,1,R,,Reliever
Todd Ritchie,'01,,347,Pirates,1,1-3,4-7,8-14,15-17,-,18-19,-,20-,-,-,180,6,R,,Starter
Scott Sauerbeck,'01,,348,Pirates,4,1-,2-7,8-12,13-14,15-17,18-19,-,20-,-,-,20,1,L,,Reliever
Jose Silva,'01,,349,Pirates,1,1-3,4-7,8-13,14-17,-,18-20,-,-,-,-,50,1,R,,Reliever
Mike Williams,'01,,351,Pirates,2,1-,2-7,8-13,14-17,18-19,20-,-,-,-,-,140,1,R,,Closer
Billy Koch,'02,,351,Blue Jays,3,1-3,4-7,8-13,14-16,17-18,19-23,-,-,-,24+,40,1,R,,Closer
Todd Ritchie,'00,,351,Pirates,5,5-6,1-4,7-12,13-15,16-,17-19,-,20-,-,-,500,07,R,,Starter
Scott Sauerbeck,'00,,352,Pirates,3,6-7,1-5,8-13,14-16,17-18,19-,-,20-,-,-,110,1,R,,Reliever
Esteban Loaiza,'02,,352,Blue Jays,3,1-3,4-6,7-12,13-16,-,17-19,-,20-,-,21+,150,6,R,,Starter
Jason Schmidt,'00,,353,Pirates,3,5-7,1-4,8-12,13-16,17-,18-19,-,20-,-,-,330,6,R,,Starter
Carlos Almanzar,'01,,353,Padres,1,1-3,4-8,9-13,14-17,18-,19-20,-,-,-,-,40,1,R,,Reliever
Paul Quantrill,'02,,354,Blue Jays,5,1-2,3-6,7-14,15-16,-,17-19,-,20-26,-,27+,110,1,R,,Reliever
Mike Williams,'00,,355,Pirates,0,10-12,1-9,13-15,16-18,19-,20-,-,-,-,-,90,1,R,,Closer
Matt Clement,'01,,355,Padres,2,1-2,3-7,8-14,15-16,17-19,20-,-,-,-,-,300,6,R,,Starter
Adam Eaton,'01,,356,Padres,5,1-2,3-5,6-11,12-14,15-16,17-19,-,20-,-,-,350,6,R,,Starter
Adam Eaton,'01,,356,Padres,5,1-2,3-5,6-11,12-14,15-16,17-19,-,20-,-,-,350,6,R,,Starter
Andy Ashby,'00,,357,Padres,4,5-7,1-4,8-13,14-16,17-,18-19,-,20-,-,-,500,07,R,,Starter
Trevor Hoffman,'01,,358,Padres,6,1-3,4-10,11-13,14-16,-,17-19,-,20-,-,-,290,1,R,,Closer
Trevor Hoffman,'01,,358,Padres,6,1-3,4-10,11-13,14-16,-,17-19,-,20-,-,-,290,1,R,,Closer
Sterling Hitchcock,'00,,360,Padres,5,7-8,1-6,9-11,12-15,16-,17-19,-,20-,-,-,430,6,L,,Starter
Trevor Hoffman,'00,,361,Padres,4,9-,1-8,10-14,15-18,-,19-,-,20-,-,-,200,1,R,,Closer
Kevin Walker,'01,,365,Padres,5,1-2,3-6,7-12,13-15,16-18,19-20,-,-,-,-,220,1,L,,Reliever
Woody Williams,'01,,366,Padres,2,1-4,5-8,9-13,14-17,18-,19-20,-,-,-,-,400,07,R,,Starter
Jay Witasick,'01,,367,Padres,2,1-3,4-7,8-13,14-16,17-,18-19,-,20-,-,-,210,6,R,,Starter
Matt Whisenant,'00,,370,Padres,4,5-6,1-4,7-12,13-14,15-17,18-19,-,20-,-,-,80,1,L,,Reliever
Woody Williams,'00,,371,Padres,3,5-6,1-4,7-11,12-16,17-,18-,-,19-,-,20+,190,6,R,,Starter
Doug Henry,'01,,373,Giants,2,1-4,5-9,10-14,15-17,18-20,-,-,-,-,-,130,1,R,,Reliever
Livan Hernandez,'01,,374,Giants,6,1-2,3-5,6-11,12-14,15-,16-19,-,20-,-,-,480,07,R,,Starter
Livan Hernandez,'01,,374,Giants,6,1-2,3-5,6-11,12-14,15-,16-19,-,20-,-,-,480,07,R,,Starter
Alan Embree,'00,,376,Giants,6,6-,1-5,7-9,10-15,16-18,19-20,-,-,-,-,170,1,L,,Reliever
Shawn Estes,'00,,377,Giants,0,7-9,1-6,10-14,15-18,19-,20-,-,-,-,-,150,6,L,,Starter
John Johnstone,'00,,378,Giants,6,6-7,1-5,8-10,11-16,17-,18-19,-,20-,-,-,170,1,R,,Reliever
Robb Nen,'01,,379,Giants,5,1-2,3-10,11-14,15-17,18-,19-20,-,-,-,-,330,1,R,,Closer
Robb Nen,'01,,379,Giants,5,1-2,3-10,11-14,15-17,18-,19-20,-,-,-,-,330,1,R,,Closer
Russ Ortiz,'01,,380,Giants,3,1-3,4-7,8-12,13-15,16-17,18-19,-,20-,-,-,190,6,R,,Starter
Felix Rodriguez,'01,,382,Giants,4,1-2,3-9,10-12,13-16,17-18,19-20,-,-,-,-,190,1,R,,Reliever
Robb Nen,'00,,382,Giants,3,8-9,1-7,10-13,14-16,17-,18-20,-,-,-,-,140,1,R,,Closer
Kirk Rueter,'01,,383,Giants,5,1-3,4-5,6-10,11-14,15-,16-19,-,20-,-,-,320,6,L,,Starter
Russ Ortiz,'00,,383,Giants,0,7-8,1-6,9-13,14-18,19-20,-,-,-,-,-,170,6,R,,Starter
Kirk Rueter,'00,,384,Giants,4,4-6,1-3,6-10,11-15,16-,17-19,-,20-,-,-,330,6,L,,Starter
Paul Abbott,'01,,385,Mariners,4,1-3,4-6,7-11,12-16,17-,18-19,-,20-,-,-,450,6,R,,Starter
John Halama,'01,,389,Mariners,5,1-2,3-4,5-10,11-14,15-,16-18,-,19-20,-,-,260,6,L,,Starter
Freddy Garcia,'00,,390,Mariners,3,6-7,1-5,8-12,13-16,17-,18-19,-,20-,-,-,330,6,R,,Starter
John Halama,'00,,392,Mariners,5,4-5,1-3,6-11,12-15,16-,17-19,-,20-,-,-,490,07,L,,Starter
Jose Paniagua,'01,,395,Mariners,5,1-3,4-8,9-12,13-15,16-17,18-19,-,20-,-,-,160,1,R,,Reliever
Arthur Rhodes,'01,,396,Mariners,4,1-2,3-9,10-14,15-17,18-,19-20,-,-,-,-,250,1,L,,Reliever
Jose Mesa,'00,,397,Mariners,4,4-5,1-3,6-10,11-14,15-16,17-20,-,-,-,-,120,1,R,,Closer
Kazuhiro Sasaki,'01,,398,Mariners,5,1-2,3-9,10-13,14-16,17-18,19-,-,20-,-,-,240,1,R,,Closer
Kazuhiro Sasaki,'01,,398,Mariners,5,1-2,3-9,10-13,14-16,17-18,19-,-,20-,-,-,240,1,R,,Closer
Jamie Moyer,'00,,398,Mariners,3,4-6,1-3,7-12,13-17,-,18-19,-,20-,-,-,470,07,L,,Starter
Aaron Sele,'01,,399,Mariners,5,1-2,3-5,6-11,12-15,16-,17-19,-,20-,-,-,460,6,R,,Starter
Jose Paniagua,'00,,399,Mariners,3,6-,1-5,7-12,13-15,16-18,19-20,-,-,-,-,100,1,R,,Reliever
Rick Ankiel,'01,,401,Cardinals,2,1-3,4-10,11-14,15-17,18-19,20-,-,-,-,-,340,6,L,,Starter
Rick Ankiel,'01,,401,Cardinals,2,1-3,4-10,11-14,15-17,18-19,20-,-,-,-,-,340,6,L,,Starter
Manny Aybar,'00,,402,Cardinals,3,6-7,1-5,8-11,12-16,17-,18-19,-,20-,-,-,100,1,R,,Reliever
Ricky Bottalico,'00,,403,Cardinals,2,6-8,1-5,9-12,13-15,16-17,18-19,-,20-,-,-,70,1,R,,Closer
Kent Bottenfield,'00,,404,Cardinals,0,6-8,1-5,9-12,13-18,19-,20-,-,-,-,-,140,6,R,,Starter
Pat Hentgen,'01,,405,Cardinals,2,1-4,5-7,8-13,14-16,17-,18-19,-,20-,-,-,210,6,R,,Starter
Darryl Kile,'01,,406,Cardinals,4,1-3,4-7,8-12,13-16,17-,18-19,-,20-,-,-,460,07,R,,Starter
Darryl Kile,'01,,406,Cardinals,4,1-3,4-7,8-12,13-16,17-,18-19,-,20-,-,-,460,07,R,,Starter
Jose Jimenez,'00,,408,Cardinals,0,6-8,1-5,9-15,16-18,19-,20-,-,-,-,-,180,6,R,,Starter
Darren Oliver,'00,,413,Cardinals,4,4-5,1-3,6-11,12-15,16-,17-19,-,20-,-,-,380,07,L,,Starter
Garret Stephenson,'01,,413,Cardinals,4,1-3,4-6,7-11,12-15,16-,17-18,-,19-20,-,-,260,6,R,,Starter
Lance Painter,'00,,414,Cardinals,3,7-8,1-6,9-13,14-16,17-,18-19,-,20-,-,-,100,1,L,,Reliever
Mike Timlin,'01,,415,Cardinals,2,1-2,3-7,8-14,15-17,18-,19-20,-,-,-,-,140,1,R,,Reliever
Dave Veres,'01,,416,Cardinals,5,1-2,3-7,8-13,14-15,16-17,18-19,-,20-,-,-,190,1,R,,Closer
Wilson Alvarez,'00,,417,Devil Rays,3,5-6,1-4,7-12,13-16,17-18,19-,-,20-,-,-,360,6,L,,Starter
Rolando Arrojo,'00,,418,Devil Rays,0,6-8,1-5,9-14,15-18,19-,20-,-,-,-,-,170,6,R,,Starter
Doug Creek,'01,,421,Devil Rays,2,1-3,4-11,12-13,14-17,18-19,-,-,-,-,20+,10,1,L,,Reliever
Roberto Hernandez,'00,,423,Devil Rays,5,6-7,1-5,8-12,13-15,16-17,18-20,-,-,-,-,180,1,R,,Closer
Roberto Hernandez,'01,,424,Devil Rays,3,1-2,3-7,8-13,14-16,17-,18-19,-,20-,-,-,120,1,R,,Closer
Roberto Hernandez,'01,,424,Devil Rays,3,1-2,3-7,8-13,14-16,17-,18-19,-,20-,-,-,120,1,R,,Closer
Albie Lopez,'01,,426,Devil Rays,3,1-2,3-5,6-13,14-16,17-,18-19,-,20-,-,-,400,07,R,,Starter
Rick White,'00,,429,Devil Rays,4,5-6,1-4,7-12,13-15,16-,17-19,-,20-,-,-,230,2,R,,Reliever
Bryan Rekar,'01,,429,Devil Rays,3,1-3,4-6,7-13,14-16,-,17-19,-,20-,-,-,350,6,R,,Starter
Bobby Witt,'00,,431,Devil Rays,3,5-,1-4,6-11,12-15,16-17,18-19,-,20-,-,-,230,6,R,,Starter
Esteban Yan,'01,,432,Devil Rays,3,1-2,3-7,8-12,13-16,17-,18-,-,19-,-,20+,40,2,R,,Reliever
Tim Crabtree,'00,,433,Rangers,5,5-6,1-4,7-12,13-15,16-,17-20,-,-,-,-,150,1,R,,Reliever
Tim Crabtree,'01,,436,Rangers,3,1-3,4-7,8-15,16-17,-,18-19,-,20-,-,-,170,1,R,,Reliever
Rick Helling,'00,,437,Rangers,3,4-5,1-3,6-10,11-16,17-,18-,-,19-,-,20+,190,6,R,,Starter
Rick Helling,'01,,439,Rangers,6,1-3,4-6,7-9,10-14,15-16,17-18,-,19-20,-,-,340,6,R,,Starter
Mike Morgan,'00,,439,Rangers,0,3-5,1-2,6-14,15-18,-,19-,-,20-,-,-,40,5,R,,Starter
Aaron Sele,'00,,442,Rangers,4,6-7,1-5,8-12,13-15,16-,17-19,-,20-,-,-,330,6,R,,Starter
Mike Venafro,'00,,444,Rangers,4,4-5,1-3,6-14,15-16,17-,18-20,-,-,-,-,150,1,L,,Reliever
Kenny Rogers,'01,,445,Rangers,4,1-2,3-5,6-12,13-15,16-,17-19,-,20-,-,-,390,07,L,,Starter
John Wetteland,'00,,445,Rangers,6,6-7,1-5,8-9,10-15,16-,17-19,-,20-,-,-,180,1,R,,Closer
Mike Venafro,'01,,446,Rangers,6,1-2,3-5,6-12,13-14,15-,16-19,-,20-,-,-,180,1,R,,Reliever
Jeff Zimmerman,'00,,447,Rangers,4,6-7,1-5,8-12,13-18,19-,20-,-,-,-,-,180,1,R,,Reliever
John Wetteland,'01,,447,Rangers,1,1-2,3-7,8-12,13-17,18-,19-20,-,-,-,-,40,1,R,,Closer
Kelvim Escobar,'01,,451,Blue Jays,2,1-3,4-8,9-13,14-17,18-,19-,-,20-,-,-,340,07,R,,Starter
Kelvim Escobar,'00,,452,Blue Jays,0,5-7,1-4,8-13,14-18,19-,20-,-,-,-,-,160,6,R,,Starter
Mark Guthrie,'01,,455,Blue Jays,3,1-3,4-8,9-13,14-16,17-,18-20,-,-,-,-,140,1,L,,Reliever
Pat Hentgen,'00,,456,Blue Jays,3,4-6,1-3,7-11,12-16,17-,18-19,-,20-,-,-,330,6,R,,Starter
Billy Koch,'01,,456,Blue Jays,5,1-3,4-7,8-13,14-16,-,17-19,-,20-,-,-,250,1,R,,Closer
Esteban Loaiza,'01,,457,Blue Jays,2,1-3,4-7,8-13,14-17,-,18-19,-,20-,-,-,320,6,R,,Starter
Billy Koch,'00,,457,Blue Jays,5,6-,1-5,7-12,13-15,16-17,18-19,-,20-,-,-,170,1,R,,Closer
Graeme Lloyd,'00,,458,Blue Jays,6,4-5,1-3,6-11,12-15,16-,17-19,-,20-,-,-,150,1,R,,Reliever
Paul Quantrill,'01,,460,Blue Jays,2,1-3,4-6,7-13,14-17,-,18-19,-,20-,-,-,100,1,R,,Reliever
David Wells,'00,,462,Blue Jays,4,5-7,1-4,8-12,13-16,17-,18-19,-,20-,-,-,490,07,L,,Starter
David Wells,'01,,462,Blue Jays,5,1-2,3-6,7-11,12-15,-,16-19,-,20-,-,-,460,07,L,,Starter
